ecg1,ecg2,ecg3,ecg4,ecg5,tstamp
-5.01E-05,3.06E-05,1.18E-05,3.28E-05,1.35E-05,21:15.9
3.48E-05,1.98E-05,-1.73E-05,7.45E-06,-1.15E-05,21:15.9
0.00011505,2.37E-05,-4.32E-05,-2.03E-05,-3.58E-05,21:15.9
0.0001763,3.04E-05,-6.03E-05,-4.10E-05,-5.89E-05,21:15.9
0.00020024,2.98E-05,-6.15E-05,-3.82E-05,-6.36E-05,21:15.9
0.00015782,2.89E-05,-4.81E-05,-2.25E-05,-4.74E-05,21:15.9
7.89E-05,2.58E-05,-2.71E-05,-3.23E-06,-2.16E-05,21:15.9
9.42E-06,2.29E-05,7.89E-07,2.54E-05,7.21E-06,21:15.9
-5.11E-05,2.59E-05,2.15E-05,4.28E-05,2.53E-05,21:15.9
-7.81E-05,2.84E-05,2.21E-05,4.47E-05,2.75E-05,21:15.9
-4.18E-05,2.51E-05,1.14E-05,3.63E-05,1.91E-05,21:15.9
4.30E-05,2.36E-05,-1.37E-05,5.78E-06,-7.15E-06,21:15.9
0.00013011,2.47E-05,-4.77E-05,-2.35E-05,-4.03E-05,21:15.9
0.00018076,2.66E-05,-6.23E-05,-3.83E-05,-5.74E-05,21:15.9
0.00019138,2.69E-05,-6.10E-05,-4.59E-05,-5.96E-05,21:15.9
0.00014826,2.28E-05,-5.13E-05,-3.62E-05,-4.82E-05,21:15.9
7.04E-05,2.22E-05,-2.65E-05,-1.43E-05,-2.19E-05,21:15.9
-7.91E-07,2.42E-05,-1.39E-06,1.11E-05,2.99E-06,21:15.9
-6.12E-05,2.45E-05,1.88E-05,3.33E-05,2.08E-05,21:15.9
-8.14E-05,2.79E-05,3.35E-05,4.35E-05,3.25E-05,21:15.9
-4.07E-05,3.30E-05,2.05E-05,3.47E-05,1.85E-05,21:15.9
3.78E-05,3.10E-05,-1.49E-05,3.78E-06,-1.14E-05,21:15.9
0.00012037,2.23E-05,-3.98E-05,-2.50E-05,-3.67E-05,21:16.0
0.00017641,2.18E-05,-5.41E-05,-4.25E-05,-6.32E-05,21:16.0
0.00019262,2.59E-05,-6.29E-05,-5.30E-05,-6.94E-05,21:16.0
0.00014707,2.48E-05,-4.79E-05,-3.64E-05,-4.88E-05,21:16.0
6.29E-05,2.44E-05,-1.93E-05,-5.74E-06,-2.55E-05,21:16.0
-6.48E-07,2.66E-05,4.27E-06,1.70E-05,2.11E-06,21:16.0
-5.55E-05,2.86E-05,2.52E-05,3.98E-05,2.42E-05,21:16.0
-9.17E-05,2.54E-05,2.93E-05,4.78E-05,2.65E-05,21:16.0
-4.74E-05,2.20E-05,1.03E-05,2.91E-05,1.20E-05,21:16.0
3.92E-05,2.09E-05,-1.48E-05,1.05E-06,-1.46E-05,21:16.0
0.00010687,1.83E-05,-3.98E-05,-2.51E-05,-4.20E-05,21:16.0
0.00016855,1.65E-05,-5.88E-05,-4.22E-05,-6.01E-05,21:16.0
0.00018554,1.36E-05,-6.34E-05,-4.40E-05,-6.42E-05,21:16.0
0.00012716,1.30E-05,-5.35E-05,-3.21E-05,-5.47E-05,21:16.0
5.78E-05,1.23E-05,-2.66E-05,-1.30E-05,-2.88E-05,21:16.0
-9.91E-06,1.07E-05,5.23E-06,1.25E-05,4.17E-06,21:16.0
-7.78E-05,1.53E-05,2.20E-05,3.70E-05,2.09E-05,21:16.0
-9.05E-05,1.59E-05,2.29E-05,3.98E-05,2.13E-05,21:16.0
-4.64E-05,1.20E-05,9.14E-06,2.61E-05,8.85E-06,21:16.0
3.11E-05,1.19E-05,-1.55E-05,5.74E-06,-1.63E-05,21:16.0
0.00011713,1.19E-05,-4.20E-05,-2.71E-05,-4.13E-05,21:16.0
0.00016639,1.16E-05,-5.89E-05,-4.94E-05,-6.33E-05,21:16.0
0.00017327,1.31E-05,-5.60E-05,-4.76E-05,-6.85E-05,21:16.0
0.00013441,1.47E-05,-4.46E-05,-3.28E-05,-4.37E-05,21:16.0
5.48E-05,1.23E-05,-2.71E-05,-7.96E-06,-1.83E-05,21:16.0
-2.52E-05,1.03E-05,1.47E-06,1.76E-05,-2.99E-07,21:16.0
-8.10E-05,1.12E-05,2.00E-05,3.73E-05,2.18E-05,21:16.0
-9.00E-05,1.27E-05,2.07E-05,4.28E-05,2.75E-05,21:16.0
-5.07E-05,1.67E-05,7.21E-06,2.65E-05,1.42E-05,21:16.0
2.01E-05,1.47E-05,-2.23E-05,7.58E-07,-1.05E-05,21:16.0
0.00010492,1.23E-05,-4.70E-05,-2.52E-05,-4.11E-05,21:16.0
0.00015706,1.67E-05,-6.12E-05,-4.62E-05,-5.79E-05,21:16.0
0.00016509,1.05E-05,-6.98E-05,-4.87E-05,-6.12E-05,21:16.0
